gender,annual_income_$,transmission,color,price_$,body_style,dealer_region,price_category,annual_income_category
0,1911000,1,1,25100,1,3,0,3
1,1385000,1,0,18500,1,5,1,3
1,565000,1,2,17000,3,4,1,2
1,880000,1,1,41000,1,6,2,0
1,607500,0,1,28500,1,5,2,2
0,1020000,1,1,41000,4,6,2,0
1,1700000,0,0,24233,2,5,0,3
0,710000,1,2,25000,0,1,0,2
1,706000,0,2,19000,2,0,1,2
1,1843000,0,2,19300,4,5,0,3
1,365000,0,1,13000,1,3,1,1
1,990000,0,0,16000,0,2,1,0
1,1390000,1,1,16000,0,5,1,3
0,580000,1,1,21001,3,3,0,2
1,1715000,0,1,46501,2,2,2,3
1,860000,0,0,19000,3,1,1,0
1,13500,1,1,21000,3,6,0,1
0,800000,0,0,39001,2,4,2,0
1,987000,0,0,18001,1,4,1,0
1,1032000,1,0,22201,2,6,0,0
1,1005000,0,1,13500,1,1,1,0
1,1665000,0,1,32500,0,5,2,3
1,13500,0,2,45000,3,3,2,1
1,1101000,0,1,19101,4,5,0,3
1,13500,0,1,32000,3,3,2,1
0,580000,1,0,20000,4,6,0,2
1,1472000,0,1,38200,2,6,2,3
0,402000,0,0,22001,2,5,0,2
1,381000,1,1,17001,3,3,1,2
1,13500,0,0,26000,3,3,0,1
1,880000,1,1,22000,1,0,0,0
1,970000,0,0,23000,4,3,0,0
1,535000,1,1,31000,2,3,2,2
1,850000,1,1,21001,3,4,0,0
1,460000,1,0,27000,2,0,0,2
1,976000,0,1,21000,1,0,0,0
0,580000,0,0,18000,4,6,1,2
1,1625000,1,2,43500,4,6,2,3
1,13500,1,1,14001,3,1,1,1
1,13500,0,2,19000,1,3,1,1
0,605000,0,1,27000,4,6,0,2
1,812000,1,2,11000,3,5,1,0
1,265000,0,1,21000,1,3,0,1
1,735000,1,1,14000,3,4,1,0
0,13500,1,1,22000,3,1,0,1
1,1590000,1,2,37000,1,2,2,3
0,13500,1,1,22001,0,4,0,1
1,13500,0,2,19000,1,4,1,1
1,13500,0,0,9000,3,2,1,1
0,13500,1,1,13000,3,3,1,1
1,935000,0,0,39000,4,3,2,0
1,625000,1,2,17001,3,1,1,2
0,431000,0,0,21000,1,1,0,2
1,570000,1,1,27000,3,4,0,2
1,1560000,1,1,16001,1,1,1,3
1,411000,0,1,45000,3,3,2,2
1,865000,1,2,37000,1,4,2,0
1,13500,1,0,20000,4,6,0,1
1,1280000,1,2,20001,3,2,0,3
1,1620000,1,1,26000,4,0,0,3
0,950000,0,1,19000,2,2,1,0
1,13500,0,0,24000,3,0,0,1
1,13500,0,1,42001,3,3,2,1
1,13500,1,1,27001,3,6,2,1
1,1110000,0,0,26000,0,5,0,3
0,1061000,1,0,18100,0,4,1,0
1,775000,0,2,19001,1,2,1,0
0,632000,1,1,14000,1,4,1,2
1,430000,1,0,17000,1,4,1,2
1,1180000,0,1,21001,1,6,0,3
1,13500,1,0,25000,3,1,0,1
1,1300000,1,0,18000,2,6,1,3
1,1500000,0,0,22000,2,5,0,3
1,1492000,1,1,27200,3,5,2,3
1,522500,1,1,21500,3,5,0,2
1,1321000,1,1,26100,0,0,0,3
1,13500,0,0,33000,3,0,2,1
1,13500,0,1,53000,1,5,2,1
1,568000,0,1,19000,2,2,1,2
1,13500,1,1,20000,3,4,0,1
1,1950000,0,0,28001,1,4,2,3
0,500000,1,1,41000,4,5,2,2
1,1785000,1,1,27501,3,6,2,3
1,1360000,1,1,21000,4,4,0,3
0,920000,0,0,19000,4,2,1,0
1,612000,0,0,19000,2,2,1,2
1,590000,0,1,32000,1,0,2,2
1,13500,1,1,20000,3,1,0,1
0,650000,1,1,14001,1,2,1,2
1,13500,0,2,23000,3,1,0,1
0,350000,1,2,25000,1,5,0,1
1,1420000,0,2,31000,3,2,2,3
1,13500,0,1,38000,4,6,2,1
1,619000,1,1,14000,4,5,1,2
1,1031000,0,0,16101,0,0,1,0
1,655000,1,1,54000,3,5,2,2
1,13500,0,1,38001,2,3,2,1
0,1361000,0,0,16100,4,2,1,3
1,1200000,0,0,16000,4,2,1,3
1,13500,1,1,22000,4,4,0,1
1,540000,0,1,31000,3,0,2,2
0,1445000,0,2,19501,1,3,0,3
0,407500,0,1,33500,2,6,2,2
1,347000,1,1,28000,3,3,2,1
1,1965000,1,2,34500,4,4,2,3
0,772000,0,1,38000,2,3,2,0
1,1655000,0,2,19500,0,1,0,3
1,770000,0,0,9000,1,6,1,0
0,640000,0,0,33000,1,3,2,2
1,1235000,1,1,33500,1,1,2,3
1,341500,0,1,19500,3,4,0,1
0,760000,1,1,17000,2,2,1,0
1,817500,0,1,21501,1,5,0,0
1,13500,0,2,29000,4,2,2,1
1,940000,0,1,31001,1,2,2,0
1,461000,1,1,20001,3,3,0,2
1,872500,1,0,16501,0,3,1,0
1,1010000,1,1,41001,0,1,2,0
1,517250,0,2,15250,1,3,1,2
0,505000,0,1,21000,4,6,0,2
1,1264000,0,0,23400,4,6,0,3
1,1910000,1,2,31000,3,2,2,3
1,627000,1,2,24000,2,0,0,2
1,13500,0,2,19000,1,4,1,1
1,1335000,0,0,26501,0,2,0,3
1,410000,0,2,31000,1,6,2,2
1,480000,1,1,19000,0,1,1,2
1,800000,0,1,51000,3,4,2,0
0,13500,0,1,20000,1,2,0,1
1,1352000,1,0,43200,3,3,2,3
1,470000,0,1,23000,3,6,0,2
1,13500,0,2,22001,3,5,0,1
0,575000,0,1,31000,1,1,2,2
1,13500,1,1,27000,0,3,0,1
0,13500,1,0,26001,3,4,0,1
1,13500,1,2,43000,4,3,2,1
1,520000,1,1,17000,3,4,1,2
1,951000,1,1,25001,1,6,0,0
0,388500,0,1,38500,2,1,2,2
1,645000,1,1,17000,3,1,1,2
0,1062500,0,0,9250,2,4,1,0
1,13500,1,1,20000,1,1,0,1
1,13500,1,0,43001,4,0,2,1
1,735000,1,1,16000,0,2,1,0
1,725000,1,1,37000,3,6,2,0
1,853000,0,0,22000,2,5,0,0
1,1100000,0,2,41000,1,4,2,0
1,1120000,0,1,46000,0,0,2,3
1,905000,0,0,18000,3,5,1,0
1,690000,1,2,21000,4,1,0,2
1,1900000,1,2,31001,3,0,2,3
1,800000,1,1,14000,3,6,1,0
0,2100000,0,1,25000,1,5,0,3
1,1145000,1,1,27500,1,0,2,3
1,13500,0,1,12000,3,1,1,1
1,675000,0,1,18000,1,0,1,2
0,660000,0,1,15001,4,4,1,2
0,650000,0,1,12000,2,6,1,2
1,455000,1,1,20001,0,6,0,2
1,1387000,0,1,15701,4,0,1,3
0,500000,1,1,16001,3,1,1,2
1,730000,1,1,27000,2,0,0,0
0,825000,0,0,28000,1,3,2,0
1,1340000,1,1,22000,3,5,0,3
1,1310000,1,0,49000,1,1,2,3
1,13500,0,1,26000,1,4,0,1
1,389000,1,1,17001,1,2,1,2
1,13500,0,1,19000,1,5,1,1
1,13500,0,1,35000,3,5,2,1
1,750000,0,2,21000,1,1,0,0
0,1650000,1,1,20000,3,1,0,3
1,890000,1,1,21000,0,6,0,0
1,1140000,1,1,24000,0,5,0,3
1,1475000,1,2,37500,3,1,2,3
1,1070000,1,1,22000,0,1,0,0
1,13500,1,1,17000,4,6,1,1
1,457000,0,0,22000,2,2,0,2
0,1105000,0,2,19500,4,1,0,3
1,2260000,0,2,22000,3,2,0,3
1,370000,1,1,17001,4,0,1,2
0,2027500,1,2,34751,2,5,2,3
1,1310000,0,0,21000,1,0,0,3
1,1405000,0,2,21500,0,1,0,3
1,13500,0,0,18000,0,0,1,1
1,940000,0,0,39000,2,3,2,0
1,13500,0,0,17000,4,5,1,1
